iter	Passed	Remaining
0	1	122
1	2	109
2	3	101
3	4	99
4	5	100
5	7	113
6	9	130
7	15	172
8	17	174
9	18	165
10	19	160
11	20	152
12	21	146
13	23	141
14	24	137
15	25	136
16	27	132
17	28	128
18	29	126
19	30	123
20	32	120
21	33	118
22	34	115
23	35	113
24	36	110
25	37	107
26	42	115
27	44	113
28	45	111
29	46	108
30	47	105
31	48	103
32	49	100
33	50	98
34	52	96
35	53	95
36	55	93
37	55	91
38	56	89
39	57	86
40	58	84
41	59	81
42	60	80
43	61	78
44	62	76
45	63	74
46	64	72
47	66	71
48	67	70
49	68	68
50	70	67
51	71	65
52	72	64
53	73	62
54	74	60
55	75	59
56	76	57
57	77	56
58	78	54
59	80	53
60	81	51
61	82	50
62	83	49
63	84	47
64	86	46
65	87	44
66	88	43
67	89	42
68	90	40
69	91	39
70	92	37
71	93	36
72	95	35
73	96	33
74	97	32
75	98	31
76	99	29
77	100	28
78	102	27
79	103	25
80	104	24
81	105	23
82	107	22
83	108	20
84	109	19
85	110	17
86	111	16
87	112	15
88	114	14
89	114	12
90	115	11
91	116	10
92	117	8
93	118	7
94	119	6
95	121	5
96	122	3
97	123	2
98	125	1
99	126	0
